83800	3519600
33700	1415400
67800	2847600
68100	2860200
14400	604800
73500	3087000
49400	2074800
74600	3133200
46600	1957200
20900	877800
55400	2326800
75900	3187800
43700	1835400
50100	2104200
71700	3011400
87800	3687600
34000	1428000
85100	3574200
3600	151200
35700	1499400
68100	2860200
87700	3683400
34500	1449000
44200	1856400
91200	3830400
95500	4011000
17200	722400
50900	2137800
50700	2129400
31800	1335600
5700	239400
69700	2927400
700	29400
8800	369600
73000	3066000
50400	2116800
82300	3456600
57600	2419200
25000	1050000
64200	2696400
13800	579600
15700	659400
40100	1684200
57500	2415000
65800	2763600
47000	1974000
45400	1906800
35000	1470000
32100	1348200
49000	2058000
5900	247800
35400	1486800
71900	3019800
40500	1701000
14900	625800
98400	4132800
36000	1512000
32100	1348200
49300	2070600
21900	919800
99100	4162200
90300	3792600
91600	3847200
99800	4191600
99100	4162200
64600	2713200
50200	2108400
16600	697200
22300	936600
10500	441000
80800	3393600
36100	1516200
61400	2578800
21000	882000
28800	1209600
27200	1142400
68000	2856000
9400	394800
97400	4090800
35400	1486800
58500	2457000
3400	142800
6000	252000
65600	2755200
79100	3322200
20900	877800
64000	2688000
15100	634200
53000	2226000
48600	2041200
37100	1558200
87300	3666600
74100	3112200
63900	2683800
87200	3662400
73200	3074400
63800	2679600
37400	1570800
89800	3771600
86100	3616200
83100	3490200
5900	247800
57400	2410800
44500	1869000
26900	1129800
86200	3620400
6900	289800
30100	1264200
95700	4019400
4400	184800
700	29400
89400	3754800
43000	1806000
6800	285600
90200	3788400
22100	928200
27700	1163400
89500	3759000
72400	3040800
16000	672000
73300	3078600
44700	1877400
3300	138600
47400	1990800
8700	365400
25700	1079400
55800	2343600
72500	3045000
98400	4132800
80800	3393600
93800	3939600
81500	3423000
86700	3641400
86400	3628800
26100	1096200
48800	2049600
72600	3049200
68200	2864400
79000	3318000
3500	147000
72600	3049200
79700	3347400
28100	1180200
50800	2133600
21700	911400
53600	2251200
72900	3061800
84700	3557400
43100	1810200
45400	1906800
35900	1507800
51600	2167200
25300	1062600
74400	3124800
99000	4158000
34000	1428000
200	8400
54800	2301600
41700	1751400
98600	4141200
35600	1495200
35500	1491000
15300	642600
22400	940800
21900	919800
76600	3217200
71200	2990400
29800	1251600
44900	1885800
85400	3586800
68500	2877000
52700	2213400
400	16800
31900	1339800
3600	151200
57300	2406600
85500	3591000
11700	491400
42000	1764000
63800	2679600
92300	3876600
13100	550200
15400	646800
17700	743400
87600	3679200
14400	604800
86900	3649800
23000	966000
4400	184800
28700	1205400
21600	907200
75200	3158400
99400	4174800
72100	3028200
97600	4099200
56600	2377200
48800	2049600
4100	172200
86400	3628800
93700	3935400
24700	1037400
90100	3784200
81600	3427200
25100	1054200
22000	924000
20400	856800
17700	743400
42700	1793400
32200	1352400
59700	2507400
6500	273000
24500	1029000
8100	340200
21900	919800
77400	3250800
95700	4019400
71500	3003000
64400	2704800
18700	785400
11100	466200
93100	3910200
75500	3171000
86400	3628800
27700	1163400
47600	1999200
19200	806400
84300	3540600
31600	1327200
58500	2457000
5900	247800
60500	2541000
83300	3498600
96100	4036200
42200	1772400
43600	1831200
53300	2238600
62600	2629200
61300	2574600
96100	4036200
94800	3981600
56300	2364600
37800	1587600
54600	2293200
64400	2704800
95000	3990000
67200	2822400
95300	4002600
1700	71400
31600	1327200
14000	588000
12900	541800
59900	2515800
24700	1037400
99300	4170600
87700	3683400
72300	3036600
53700	2255400
7200	302400
4000	168000
12300	516600
13200	554400
99700	4187400
30800	1293600
9300	390600
41900	1759800
74400	3124800
97800	4107600
4600	193200
71000	2982000
93900	3943800
34600	1453200
27300	1146600
67000	2814000
24400	1024800
26900	1129800
62000	2604000
91700	3851400
22200	932400
63700	2675400
58500	2457000
36200	1520400
11800	495600
18500	777000
60900	2557800
46300	1944600
41400	1738800
68400	2872800
100	4200
48600	2041200
7600	319200
47600	1999200
61800	2595600
7400	310800
78400	3292800
6300	264600
84500	3549000
52800	2217600
4200	176400
24300	1020600
23800	999600
33300	1398600
94200	3956400
86300	3624600
300	12600
18600	781200
13200	554400
